data_source,zpid,address,price,bedrooms,bathrooms,sqft,lot_size,year_built,latitude,longitude,property_type,listing_url,zestimate,days_on_market,price_change,listing_status,photos,last_updated,price_per_sqft,has_garage,neighborhood,overall_score,price_score,commute_score,size_score,age_score,location_score,market_score,meets_requirements,recommendation
zillow_rapidapi,1968939,"2 Melbourne Ave SE, Minneapolis, MN 55414",419900.0,4.0,3.0,2676.0,3920.4,2000,44.96621,-93.2101,Single Family,https://www.zillow.com/homedetails/2-Melbourne-Ave-SE-Minneapolis-MN-55414/1968939_zpid/,500300.0,4.0,0.0,For Sale,https://photos.zillowstatic.com/fp/57557ab92a55904ef577d9ac4b970f87-p_e.jpg,2025-05-26T11:08:39.594645,157.0,False,Minneapolis,0.88,0.95,0.888,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1921615,"709 7th St SE, Minneapolis, MN 55414",449000.0,6.0,3.0,3063.0,4356.0,2000,44.98732,-93.242424,Single Family,https://www.zillow.com/homedetails/709-7th-St-SE-Minneapolis-MN-55414/1921615_zpid/,0.0,9.0,0.0,For Sale,https://photos.zillowstatic.com/fp/f68266dffdb3cb0e0e7b260291549c68-p_e.jpg,2025-05-26T11:08:39.597487,147.0,False,Minneapolis,0.864,0.877,0.949,1.0,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1829150,"4638 Wentworth Ave, Minneapolis, MN 55419",420000.0,4.0,2.0,2069.0,6098.4,2000,44.918198,-93.28092,Single Family,https://www.zillow.com/homedetails/4638-Wentworth-Ave-Minneapolis-MN-55419/1829150_zpid/,425500.0,6.0,0.0,For Sale,https://photos.zillowstatic.com/fp/353e2f75d1fa1caf05cd9f94f5ddac65-p_e.jpg,2025-05-26T11:08:39.593720,203.0,False,Minneapolis,0.857,0.95,0.832,0.917,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1820189,"5025 16th Ave S, Minneapolis, MN 55417",445000.0,3.0,2.0,2671.0,4791.6,2000,44.91164,-93.25079,Single Family,https://www.zillow.com/homedetails/5025-16th-Ave-S-Minneapolis-MN-55417/1820189_zpid/,0.0,4.0,0.0,For Sale,https://photos.zillowstatic.com/fp/a8dfb180a76e781170f763432378df50-p_e.jpg,2025-05-26T11:08:39.594343,167.0,False,Minneapolis,0.85,0.887,0.815,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1849397,"5236 Vincent Ave S, Minneapolis, MN 55410",425000.0,2.0,1.0,2091.0,5227.2,2000,44.907703,-93.31665,Single Family,https://www.zillow.com/homedetails/5236-Vincent-Ave-S-Minneapolis-MN-55410/1849397_zpid/,0.0,2.0,0.0,For Sale,https://photos.zillowstatic.com/fp/170fbc63704219ba982387c3ee5221fa-p_e.jpg,2025-05-26T11:08:39.596047,203.0,False,Minneapolis,0.844,0.938,0.781,0.923,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1719343,"4106 Dupont Ave N, Minneapolis, MN 55412",80000.0,2.0,1.0,1598.0,6534.0,2000,45.029842,-93.29284,Single Family,https://www.zillow.com/homedetails/4106-Dupont-Ave-N-Minneapolis-MN-55412/1719343_zpid/,0.0,3.0,0.0,For Sale,https://photos.zillowstatic.com/fp/9e10e36593d9b58579ee85db0ce57030-p_e.jpg,2025-05-26T11:08:30.400927,50.0,False,Minneapolis,0.834,0.92,0.846,0.799,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1850084,"2122 Thomas Ave N, Minneapolis, MN 55411",244900.0,3.0,1.0,2461.0,5227.2,2000,45.001324,-93.31296,Single Family,https://www.zillow.com/homedetails/2122-Thomas-Ave-N-Minneapolis-MN-55411/1850084_zpid/,245900.0,5.0,0.0,For Sale,https://photos.zillowstatic.com/fp/1b70262a76696b6dfda190526096b7cf-p_e.jpg,2025-05-26T11:08:30.400164,100.0,False,Minneapolis,0.831,0.755,0.886,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1839211,"2318 Logan Ave N, Minneapolis, MN 55411",162000.0,3.0,2.0,2129.0,6098.4,2000,45.002995,-93.30475,Single Family,https://www.zillow.com/homedetails/2318-Logan-Ave-N-Minneapolis-MN-55411/1839211_zpid/,0.0,131.0,0.0,For Sale,https://photos.zillowstatic.com/fp/086ea2afcfcad61083b90ad6809e0f63-p_e.jpg,2025-05-26T11:08:30.399735,76.0,False,Minneapolis,0.823,0.838,0.896,0.932,0.8,0.7,0.7,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,448138822,"2320 Logan Ave N, Minneapolis, MN 55411",162000.0,3.0,2.0,2129.0,6098.4,2000,45.002995,-93.30475,Single Family,https://www.zillow.com/homedetails/2320-Logan-Ave-N-Minneapolis-MN-55411/448138822_zpid/,162600.0,80.0,0.0,For Sale,https://photos.zillowstatic.com/fp/4a55d3b10f471d8de76c240acac29e6b-p_e.jpg,2025-05-26T11:08:30.400522,76.0,False,Minneapolis,0.823,0.838,0.896,0.932,0.8,0.7,0.7,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1772533,"3419 Emerson Ave N, Minneapolis, MN 55412",185000.0,3.0,1.0,2092.0,4791.6,2000,45.01734,-93.294685,Single Family,https://www.zillow.com/homedetails/3419-Emerson-Ave-N-Minneapolis-MN-55412/1772533_zpid/,184500.0,21.0,-15000.0,For Sale,https://photos.zillowstatic.com/fp/fce8ae9170b641d332b8999223fb8741-p_e.jpg,2025-05-26T11:08:30.401129,88.0,False,Minneapolis,0.822,0.815,0.876,0.923,0.8,0.7,0.8,False,❌ SKIP - Doesn't meet requirements
